Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.500000,29.719999,28.004999,28.400000,12.099133,2264332
2000-01-04,28.125000,28.125000,26.760000,26.969999,11.489920,1777252
2000-01-05,26.004999,26.650000,25.200001,25.674999,10.938215,1795652
2000-01-06,25.889999,25.995001,25.110001,25.900000,11.034068,1308232
2000-01-07,26.174999,26.795000,25.980000,26.150000,11.140579,2152368
2000-01-10,27.245001,28.100000,26.605000,27.799999,11.843519,2581120
2000-01-11,28.180000,28.500000,27.405001,27.674999,11.790265,1586132
2000-01-12,27.125000,27.490000,26.760000,27.490000,11.711451,1742576
2000-01-13,28.049999,28.625000,27.900000,28.500000,12.141738,2597760
2000-01-14,29.000000,29.445000,28.600000,29.355000,12.505990,2790348
2000-01-17,29.600000,31.700001,29.600000,31.000000,13.206804,1793068
2000-01-18,31.834999,34.250000,31.834999,34.000000,14.484877,3366024
2000-01-19,32.799999,34.000000,32.700001,33.400002,14.229264,1182116
2000-01-20,34.005001,34.924999,33.525002,33.654999,14.337899,1019924
2000-01-21,33.500000,33.625000,32.500000,32.654999,13.911877,646448
2000-01-24,33.209999,33.945000,33.154999,33.395000,14.227135,712548
2000-01-25,32.775002,33.700001,32.000000,32.060001,13.658391,1742452
2000-01-26,32.895000,32.945000,32.299999,32.494999,13.843709,1059436
2000-01-27,32.674999,33.240002,32.674999,32.810001,13.977908,602524
2000-01-28,32.750000,33.275002,32.250000,32.330002,13.773417,1361228
2000-01-31,32.000000,32.924999,31.750000,32.250000,13.739335,528360
2000-02-01,33.000000,33.000000,32.325001,32.450001,13.824542,545276
2000-02-02,32.750000,33.450001,32.549999,33.375000,14.218614,924232
2000-02-03,34.255001,36.500000,33.799999,36.494999,15.547811,2526992
2000-02-04,37.494999,38.349998,37.014999,37.465000,15.961060,2599744
2000-02-07,37.750000,38.090000,37.500000,37.549999,15.997274,810652
2000-02-08,40.005001,46.750000,39.505001,43.250000,18.425619,4287164
2000-02-09,48.744999,49.730000,44.000000,44.500000,18.958155,3966488
2000-02-10,44.500000,45.724998,43.060001,44.549999,18.979456,2293244
2000-02-11,46.965000,48.994999,45.775002,48.250000,20.555754,3772292
2000-02-14,47.994999,51.240002,47.994999,49.750000,21.194784,2714400
2000-02-15,51.005001,51.005001,49.125000,50.375000,21.461054,2048996
2000-02-16,53.005001,54.000000,51.325001,54.000000,23.005398,4319132
2000-02-17,55.000000,59.395000,53.500000,57.450001,24.475187,3259860
2000-02-18,58.005001,58.599998,56.060001,57.375000,24.443235,10641252
2000-02-21,56.500000,58.450001,56.000000,58.450001,24.901215,5239256
2000-02-22,60.005001,61.474998,60.005001,61.325001,26.126040,2690084
2000-02-23,65.000000,66.750000,63.654999,66.500000,28.330725,2357220
2000-02-24,69.449997,72.000000,66.500000,66.654999,28.396757,3314944
2000-02-25,69.000000,69.739998,65.550003,67.495003,28.754616,2133120
2000-02-28,67.000000,67.000000,65.025002,65.925003,28.085754,1258244
2000-02-29,66.599998,66.794998,64.555000,66.050003,28.139011,1324996
2000-03-01,67.000000,67.000000,65.555000,66.000000,28.117704,908052
2000-03-02,65.504997,65.504997,61.150002,61.705002,26.287926,1465828
2000-03-03,57.619999,60.744999,56.540001,60.485001,25.768177,3387616
2000-03-06,58.560001,63.500000,58.560001,61.500000,26.200592,1012700
2000-03-07,61.500000,61.500000,61.500000,61.500000,26.200592,0
2000-03-08,60.700001,69.245003,60.279999,67.500000,28.756746,3140916
2000-03-09,72.500000,73.000000,68.500000,69.250000,29.502293,2872376
2000-03-10,71.004997,71.500000,69.305000,69.500000,29.608799,1163024
2000-03-13,69.500000,69.500000,69.500000,69.500000,29.608799,0
2000-03-14,63.884998,65.495003,62.009998,63.680000,27.129332,1480300
2000-03-15,62.000000,62.724998,59.250000,60.000000,25.561548,1430664
2000-03-16,60.250000,60.500000,56.500000,56.505001,24.072596,2907104
2000-03-17,59.500000,60.485001,58.055000,59.000000,25.135529,1231704
2000-03-20,59.900002,59.900002,56.750000,56.750000,24.176970,630000
2000-03-21,54.625000,55.400002,52.764999,54.500000,23.218414,1755704
2000-03-22,56.500000,56.724998,50.025002,50.025002,21.311941,1962260
2000-03-23,48.500000,48.500000,45.105000,46.125000,19.650442,2662128
2000-03-24,45.025002,52.000000,45.025002,52.000000,22.153347,2275496
2000-03-27,52.845001,55.994999,52.549999,53.500000,22.792387,1992064
2000-03-28,55.750000,55.750000,52.200001,52.310001,22.285412,1098332
2000-03-29,49.500000,50.924999,48.250000,49.500000,21.088282,1086764
2000-03-30,46.525002,47.250000,45.150002,46.755001,19.918837,2017964
2000-03-31,45.500000,48.424999,45.439999,46.500000,19.810202,1598548
2000-04-03,48.500000,48.500000,47.500000,47.500000,20.236233,0
2000-04-04,39.990002,42.165001,37.750000,37.855000,16.127209,4309560
2000-04-05,40.000000,40.400002,34.049999,39.224998,16.710861,3230916
2000-04-06,41.750000,45.105000,41.049999,45.075001,19.203117,2541712
2000-04-07,48.500000,49.650002,47.520000,48.509998,20.666515,2890704
2000-04-10,49.805000,50.799999,48.250000,48.250000,20.555754,1824844
2000-04-11,43.500000,45.049999,41.014999,41.014999,17.473455,2686496
2000-04-12,43.000000,44.599998,40.900002,41.750000,17.786583,2637228
2000-04-13,40.750000,43.000000,40.500000,41.610001,17.726938,2959624
2000-04-14,41.000000,41.919998,37.900002,38.150002,16.252888,2939220
2000-04-17,34.994999,40.500000,34.945000,40.500000,17.254047,4141788
2000-04-18,42.250000,42.250000,39.060001,39.750000,16.934532,3241308
2000-04-19,40.450001,40.945000,38.750000,39.000000,16.615007,1721260
2000-04-20,39.000000,39.750000,38.294998,39.150002,16.678911,518352
2000-04-21,39.150002,39.150002,39.150002,39.150002,16.678911,0
2000-04-24,39.150002,39.150002,39.150002,39.150002,16.678911,0
2000-04-25,39.150002,39.150002,39.150002,39.150002,16.678911,0
2000-04-26,39.799999,40.500000,39.500000,39.750000,16.934532,1151616
2000-04-27,39.450001,39.924999,36.200001,37.674999,16.050524,1641648
2000-04-28,38.900002,39.619999,38.000000,38.375000,16.348743,1369876
2000-05-01,38.375000,38.375000,38.375000,38.375000,16.348743,0
2000-05-02,39.750000,40.735001,39.310001,39.849998,16.977131,2169660
2000-05-03,39.000000,39.689999,37.605000,37.605000,16.020702,1253540
2000-05-04,38.250000,38.900002,37.275002,37.529999,15.988750,1379232
2000-05-05,37.500000,37.950001,36.820000,37.950001,16.167679,1113316
2000-05-08,37.250000,37.735001,36.750000,37.424999,15.944018,962108
2000-05-09,37.424999,37.424999,37.424999,37.424999,15.944018,0
2000-05-10,36.000000,36.235001,34.610001,34.750000,14.804399,1127540
2000-05-11,34.005001,37.145000,34.005001,36.735001,15.650060,1794968
2000-05-12,37.025002,37.740002,36.250000,36.250000,15.443439,1632176
2000-05-15,35.994999,36.500000,34.849998,34.849998,14.846998,393548
2000-05-16,35.799999,36.474998,35.750000,35.750000,15.230424,818932
2000-05-17,35.750000,35.750000,34.264999,34.490002,14.693633,945848
2000-05-18,35.000000,35.000000,33.599998,33.875000,14.431624,1221348
2000-05-19,32.750000,33.299999,30.299999,30.555000,13.017221,3434060
2000-05-22,30.250000,30.295000,27.500000,27.500000,11.715712,2807056
2000-05-23,28.350000,28.950001,27.260000,28.584999,12.177951,2842124
2000-05-24,26.825001,27.799999,26.450001,27.799999,11.843519,2630024
2000-05-25,28.600000,28.870001,27.950001,27.950001,11.907424,1413376
2000-05-26,27.049999,27.975000,26.754999,27.504999,11.717841,1102236
2000-05-29,27.504999,27.504999,27.504999,27.504999,11.717841,0
2000-05-30,29.500000,31.990000,29.325001,30.004999,12.782907,2674304
2000-05-31,27.495001,28.150000,26.924999,26.924999,11.470747,2430008
2000-06-01,27.250000,28.740000,27.240000,28.740000,12.243985,1009276
2000-06-02,29.025000,32.099998,29.000000,31.700001,13.505018,3020244
2000-06-05,31.945000,32.794998,30.525000,30.525000,13.004438,1123936
2000-06-06,31.500000,31.750000,29.700001,29.750000,12.674271,976608
2000-06-07,29.375000,29.375000,27.905001,28.000000,11.928724,1243352
2000-06-08,28.750000,29.695000,28.510000,29.145000,12.416523,1507436
2000-06-09,28.805000,29.840000,28.750000,29.200001,12.439959,635280
2000-06-12,29.500000,29.725000,28.770000,28.799999,12.269545,322912
2000-06-13,28.750000,29.375000,28.500000,29.325001,12.493210,321488
2000-06-14,29.565001,29.875000,29.250000,29.375000,12.514508,574064
2000-06-15,29.180000,29.395000,28.860001,29.225000,12.450607,916948
2000-06-16,29.000000,29.174999,28.700001,28.945000,12.331320,1029452
2000-06-19,28.945000,28.945000,28.945000,28.945000,12.331320,0
2000-06-20,28.174999,28.490000,27.360001,28.120001,11.979849,853124
2000-06-21,28.000000,29.370001,27.875000,28.805000,12.271675,991236
2000-06-22,28.805000,28.805000,28.805000,28.805000,12.271675,0
2000-06-23,28.350000,28.900000,28.000000,28.000000,11.928724,1116428
2000-06-26,28.000000,28.110001,27.075001,27.075001,11.534650,5396728
2000-06-27,27.475000,27.480000,26.250000,26.250000,11.183180,5169920
2000-06-28,26.400000,26.799999,25.635000,25.990000,11.072412,868132
2000-06-29,25.975000,26.000000,24.000000,24.250000,10.331128,2014976
2000-06-30,25.750000,26.450001,24.750000,26.000000,11.076674,1519952
2000-07-03,25.400000,25.750000,25.070000,25.420000,10.829579,253832
2000-07-04,25.400000,25.700001,25.145000,25.400000,10.821056,111252
2000-07-05,25.475000,25.680000,24.465000,24.504999,10.439763,208404
2000-07-06,24.434999,24.520000,24.030001,24.200001,10.309827,384280
2000-07-07,24.200001,24.200001,24.200001,24.200001,10.309827,0
2000-07-10,24.594999,24.670000,24.125000,24.125000,10.277877,110240
2000-07-11,24.245001,24.250000,23.250000,23.549999,10.032910,273724
2000-07-12,23.895000,24.330000,23.650000,23.705000,10.098943,437944
2000-07-13,23.725000,23.965000,23.500000,23.600000,10.054210,282284
2000-07-14,23.600000,25.065001,23.559999,24.995001,10.648516,2012260
2000-07-17,26.049999,26.650000,25.514999,25.875000,11.023418,1608264
2000-07-18,26.200001,26.430000,25.049999,25.180000,10.727333,1226680
2000-07-19,25.049999,25.424999,24.700001,24.730000,10.535620,386756
2000-07-20,24.920000,25.740000,24.700001,25.605000,10.908393,494508
2000-07-21,25.990000,26.215000,25.129999,25.340000,10.795495,800740
2000-07-24,25.340000,25.340000,25.340000,25.340000,10.795495,0
2000-07-25,25.240000,25.240000,24.180000,24.350000,10.373732,1089656
2000-07-26,24.525000,24.889999,23.700001,23.850000,10.160717,558416
2000-07-27,23.850000,23.850000,23.850000,23.850000,10.160717,0
2000-07-28,23.799999,23.915001,22.504999,23.000000,9.798594,948852
2000-07-31,23.125000,23.480000,22.780001,23.250000,9.905101,371076
2000-08-01,23.400000,23.844999,23.125000,23.325001,9.937055,624868
2000-08-02,23.375000,23.395000,22.700001,22.900000,9.755992,667364
2000-08-03,22.719999,22.719999,21.799999,22.500000,9.585582,1282856
2000-08-04,22.650000,22.799999,22.405001,22.450001,9.564281,600272
2000-08-07,22.594999,22.680000,22.299999,22.325001,9.511029,216548
2000-08-08,22.500000,22.500000,21.900000,22.004999,9.374701,303212
2000-08-09,22.219999,22.590000,22.025000,22.025000,9.383221,342392
2000-08-10,22.100000,22.299999,21.180000,21.600000,9.202159,731036
2000-08-11,21.270000,21.400000,20.150000,20.750000,8.840037,1993592
2000-08-14,20.959999,21.250000,20.850000,21.004999,8.948673,222868
2000-08-15,21.004999,21.004999,21.004999,21.004999,8.948673,0
2000-08-16,21.250000,21.250000,20.500000,20.650000,8.797435,349160
2000-08-17,20.605000,20.695000,20.035000,20.330000,8.661105,450024
2000-08-18,20.500000,20.500000,20.174999,20.250000,8.627024,223296
2000-08-21,20.250000,20.565001,20.250000,20.559999,8.759090,62584
2000-08-22,21.120001,21.174999,20.230000,20.250000,8.627024,605812
2000-08-23,20.254999,20.344999,19.805000,20.174999,8.595071,770404
2000-08-24,20.250000,20.280001,19.900000,19.924999,8.488565,421908
2000-08-25,20.125000,20.145000,19.950001,19.950001,8.499215,557560
2000-08-28,20.129999,20.650000,20.080000,20.650000,8.797435,345768
